paper_url,venue,year,proceeding,repo_url,n_official_repos,title
https://paperswithcode.com/paper/190910155,NeurIPS,2019,NeurIPS 2019 12,https://github.com/AnanyaKumar/verified_calibration,1,Verified Uncertainty Calibration
https://paperswithcode.com/paper/191013406,NeurIPS,2019,NeurIPS 2019 12,https://github.com/deepmind/dm_memorytasks,1,Generalization of Reinforcement Learners with Working and Episodic Memory
https://paperswithcode.com/paper/191104554,NeurIPS,2019,NeurIPS 2019 12,https://github.com/josh-tobin/egqn-datasets,1,Geometry-Aware Neural Rendering
https://paperswithcode.com/paper/191202288,ICLR,2020,ICLR 2020 1,https://github.com/facebookresearch/Hanabi_SAD,1,Simplified Action Decoder for Deep Multi-Agent Reinforcement Learning
https://paperswithcode.com/paper/200210957,NeurIPS,2020,NeurIPS 2020 12,https://github.com/microsoft/unilm,1,MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers
https://paperswithcode.com/paper/2012-11635,ICLR,2021,ICLR 2021 1,https://github.com/naver/gdc,1,A Distributional Approach to Controlled Text Generation
https://paperswithcode.com/paper/3d-aware-scene-manipulation-via-inverse,NeurIPS,2018,NeurIPS 2018 12,https://github.com/ysymyth/3D-SDN,1,3D-Aware Scene Manipulation via Inverse Graphics
https://paperswithcode.com/paper/3d-pose-transfer-with-correspondence-learning,NeurIPS,2021,NeurIPS 2021 12,https://github.com/chaoyuesong/3d-corenet,1,3D Pose Transfer with Correspondence Learning and Mesh Refinement
https://paperswithcode.com/paper/3d-self-supervised-methods-for-medical,NeurIPS,2020,NeurIPS 2020 12,https://github.com/HealthML/self-supervised-3d-tasks,1,3D Self-Supervised Methods for Medical Imaging
https://paperswithcode.com/paper/3d-shape-reconstruction-from-vision-and-touch,NeurIPS,2020,NeurIPS 2020 12,https://github.com/facebookresearch/3D-Vision-and-Touch,1,3D Shape Reconstruction from Vision and Touch
https://paperswithcode.com/paper/3d-siamese-voxel-to-bev-tracker-for-sparse,NeurIPS,2021,NeurIPS 2021 12,https://github.com/fpthink/v2b,1,3D Siamese Voxel-to-BEV Tracker for Sparse Point Clouds
https://paperswithcode.com/paper/3d-steerable-cnns-learning-rotationally,NeurIPS,2018,NeurIPS 2018 12,https://github.com/mariogeiger/se3cnn,1,3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data
https://paperswithcode.com/paper/3dp3-3d-scene-perception-via-probabilistic,NeurIPS,2021,NeurIPS 2021 12,https://github.com/probcomp/threedp3,1,3DP3: 3D Scene Perception via Probabilistic Programming
https://paperswithcode.com/paper/8-bit-optimizers-via-block-wise-quantization,ICLR,2022,ICLR 2022 4,https://github.com/facebookresearch/bitsandbytes,1,8-bit Optimizers via Block-wise Quantization
https://paperswithcode.com/paper/a-3d-molecule-generative-model-for-structure,NeurIPS,2021,NeurIPS 2021 12,https://github.com/luost26/3d-generative-sbdd,1,A 3D Generative Model for Structure-Based Drug Design
https://paperswithcode.com/paper/a-baseline-for-few-shot-image-classification,ICLR,2020,ICLR 2020 1,https://github.com/amazon-science/few-shot-baseline,1,A Baseline for Few-Shot Image Classification
https://paperswithcode.com/paper/a-bayesian-theory-of-conformity-in-collective,NeurIPS,2019,NeurIPS 2019 12,https://github.com/kooosha/BayesianConformity,1,A Bayesian Theory of Conformity in Collective Decision Making
https://paperswithcode.com/paper/a-benchmark-for-systematic-generalization-in,NeurIPS,2020,NeurIPS 2020 12,https://github.com/LauraRuis/groundedSCAN,2,A Benchmark for Systematic Generalization in Grounded Language Understanding
https://paperswithcode.com/paper/a-better-alternative-to-error-feedback-for,ICLR,2021,ICLR 2021 1,https://github.com/SamuelHorvath/Compressed_SGD_PyTorch,1,A Better Alternative to Error Feedback for Communication-Efficient Distributed Learning
